P,P,C,1B,2B,3B,SS,OF,OF,OF,,Instructions
,,,,,,,,,,,1. Locate the player you want to select in the list below 
,,,,,,,,,,,2. Copy the ID of your player (you can use the Name + ID column or the ID column) 
,,,,,,,,,,,3. Paste the ID into the roster position desired 
,,,,,,,,,,,4. You must include an ID for each player; you cannot use just the player's name 
,,,,,,,,,,,5. You can create up to 500 lineups per file 
 
,,,,,,,,,,,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
,,,,,,,,,,,OF,Cameron Maybin (15272711),Cameron Maybin,15272711,OF,4000,CHC@PIT 09/03/2020 01:35PM ET,CHC,4.81
,,,,,,,,,,,SP,Chris Archer (15272875),Chris Archer,15272875,P,4000,CHC@PIT 09/03/2020 01:35PM ET,PIT,0
,,,,,,,,,,,SP,Mitch Keller (15272877),Mitch Keller,15272877,P,4000,CHC@PIT 09/03/2020 01:35PM ET,PIT,7.32
,,,,,,,,,,,SP,Jameson Taillon (15272878),Jameson Taillon,15272878,P,4000,CHC@PIT 09/03/2020 01:35PM ET,PIT,0
,,,,,,,,,,,SP,Nick Tropeano (15272880),Nick Tropeano,15272880,P,4000,CHC@PIT 09/03/2020 01:35PM ET,PIT,8.88
,,,,,,,,,,,SP,Carson Fulmer (15272882),Carson Fulmer,15272882,P,4000,CHC@PIT 09/03/2020 01:35PM ET,PIT,1.69
,,,,,,,,,,,SP,James Marvel (15272884),James Marvel,15272884,P,4000,CHC@PIT 09/03/2020 01:35PM ET,PIT,0
,,,,,,,,,,,RP,Michael Feliz (15272885),Michael Feliz,15272885,P,4000,CHC@PIT 09/03/2020 01:35PM ET,PIT,-2.82
,,,,,,,,,,,RP,Josh Osich (15272887),Josh Osich,15272887,P,4000,CHC@PIT 09/03/2020 01:35PM ET,CHC,3.59
,,,,,,,,,,,RP,Keone Kela (15272889),Keone Kela,15272889,P,4000,CHC@PIT 09/03/2020 01:35PM ET,PIT,2.03
,,,,,,,,,,,SP,Clay Holmes (15272891),Clay Holmes,15272891,P,4000,CHC@PIT 09/03/2020 01:35PM ET,PIT,3.8
,,,,,,,,,,,RP,Braeden Ogle (15272894),Braeden Ogle,15272894,P,4000,CHC@PIT 09/03/2020 01:35PM ET,PIT,0
,,,,,,,,,,,RP,Blake Cederlind (15272896),Blake Cederlind,15272896,P,4000,CHC@PIT 09/03/2020 01:35PM ET,PIT,0
,,,,,,,,,,,SP,Cody Bolton (15272899),Cody Bolton,15272899,P,4000,CHC@PIT 09/03/2020 01:35PM ET,PIT,0
,,,,,,,,,,,SP,Nik Turley (15272902),Nik Turley,15272902,P,4000,CHC@PIT 09/03/2020 01:35PM ET,PIT,1.79
,,,,,,,,,,,RP,Geoff Hartlieb (15272905),Geoff Hartlieb,15272905,P,4000,CHC@PIT 09/03/2020 01:35PM ET,PIT,3.27
,,,,,,,,,,,RP,Dovydas Neverauskas (15272907),Dovydas Neverauskas,15272907,P,4000,CHC@PIT 09/03/2020 01:35PM ET,PIT,2.11
,,,,,,,,,,,RP,Nick Burdi (15272908),Nick Burdi,15272908,P,4000,CHC@PIT 09/03/2020 01:35PM ET,PIT,2.95
,,,,,,,,,,,RP,Sam Howard (15272910),Sam Howard,15272910,P,4000,CHC@PIT 09/03/2020 01:35PM ET,PIT,4.14
,,,,,,,,,,,SP,Max Kranick (15272912),Max Kranick,15272912,P,4000,CHC@PIT 09/03/2020 01:35PM ET,PIT,0
,,,,,,,,,,,RP,Tyler Bashlor (15272914),Tyler Bashlor,15272914,P,4000,CHC@PIT 09/03/2020 01:35PM ET,PIT,0.73
,,,,,,,,,,,RP,Nick Mears (15272915),Nick Mears,15272915,P,4000,CHC@PIT 09/03/2020 01:35PM ET,PIT,3.16
,,,,,,,,,,,RP,Yacksel Rios (15272916),Yacksel Rios,15272916,P,4000,CHC@PIT 09/03/2020 01:35PM ET,PIT,1.13
,,,,,,,,,,,RP,Miguel Del Pozo (15272928),Miguel Del Pozo,15272928,P,4000,CHC@PIT 09/03/2020 01:35PM ET,PIT,-2.15
,,,,,,,,,,,RP,Kyle Crick (15272929),Kyle Crick,15272929,P,4000,CHC@PIT 09/03/2020 01:35PM ET,PIT,2.29
,,,,,,,,,,,RP,Richard Rodriguez (15272932),Richard Rodriguez,15272932,P,4000,CHC@PIT 09/03/2020 01:35PM ET,PIT,3.2
,,,,,,,,,,,SP,Aaron Shortridge (15272936),Aaron Shortridge,15272936,P,4000,CHC@PIT 09/03/2020 01:35PM ET,PIT,0
,,,,,,,,,,,SP,Cody Ponce (15272937),Cody Ponce,15272937,P,4000,CHC@PIT 09/03/2020 01:35PM ET,PIT,7.88
,,,,,,,,,,,SP,Justin Verlander (15272873),Justin Verlander,15272873,P,4000,TEX@HOU 09/03/2020 02:10PM ET,HOU,25.1
,,,,,,,,,,,RP,Brad Peacock (15272874),Brad Peacock,15272874,P,4000,TEX@HOU 09/03/2020 02:10PM ET,HOU,0
,,,,,,,,,,,SP,Rogelio Armenteros (15272876),Rogelio Armenteros,15272876,P,4000,TEX@HOU 09/03/2020 02:10PM ET,HOU,0
,,,,,,,,,,,SP,Jose Urquidy (15272879),Jose Urquidy,15272879,P,4000,TEX@HOU 09/03/2020 02:10PM ET,HOU,0
,,,,,,,,,,,RP,Austin Pruitt (15272881),Austin Pruitt,15272881,P,4000,TEX@HOU 09/03/2020 02:10PM ET,HOU,0
,,,,,,,,,,,RP,Chris Devenski (15272883),Chris Devenski,15272883,P,4000,TEX@HOU 09/03/2020 02:10PM ET,HOU,1.75
,,,,,,,,,,,RP,Derek Law (15272886),Derek Law,15272886,P,4000,TEX@HOU 09/03/2020 02:10PM ET,TEX,0
,,,,,,,,,,,RP,Luis Garcia (15272888),Luis Garcia,15272888,P,4000,TEX@HOU 09/03/2020 02:10PM ET,TEX,2.9
,,,,,,,,,,,RP,Yohander Mendez (15272890),Yohander Mendez,15272890,P,4000,TEX@HOU 09/03/2020 02:10PM ET,TEX,0
,,,,,,,,,,,RP,Jojanse Torres (15272892),Jojanse Torres,15272892,P,4000,TEX@HOU 09/03/2020 02:10PM ET,HOU,0
,,,,,,,,,,,RP,Cody Allen (15272893),Cody Allen,15272893,P,4000,TEX@HOU 09/03/2020 02:10PM ET,TEX,0
,,,,,,,,,,,SP,Brett Conine (15272895),Brett Conine,15272895,P,4000,TEX@HOU 09/03/2020 02:10PM ET,HOU,0
,,,,,,,,,,,RP,Juan Nicasio (15272897),Juan Nicasio,15272897,P,4000,TEX@HOU 09/03/2020 02:10PM ET,TEX,-5.6
,,,,,,,,,,,RP,Kent Emanuel (15272898),Kent Emanuel,15272898,P,4000,TEX@HOU 09/03/2020 02:10PM ET,HOU,0
,,,,,,,,,,,RP,Rafael Montero (15272900),Rafael Montero,15272900,P,4000,TEX@HOU 09/03/2020 02:10PM ET,TEX,3.66
,,,,,,,,,,,RP,Bryan Abreu (15272901),Bryan Abreu,15272901,P,4000,TEX@HOU 09/03/2020 02:10PM ET,HOU,1.38
,,,,,,,,,,,RP,Luis Garcia (15272903),Luis Garcia,15272903,P,4000,TEX@HOU 09/03/2020 02:10PM ET,HOU,0
,,,,,,,,,,,RP,Andre Scrubb (15272904),Andre Scrubb,15272904,P,4000,TEX@HOU 09/03/2020 02:10PM ET,HOU,3.83
,,,,,,,,,,,RP,Jimmy Herget (15272906),Jimmy Herget,15272906,P,4000,TEX@HOU 09/03/2020 02:10PM ET,TEX,2.01
,,,,,,,,,,,SP,Alex Speas (15272909),Alex Speas,15272909,P,4000,TEX@HOU 09/03/2020 02:10PM ET,TEX,0
,,,,,,,,,,,RP,Cionel Perez (15272911),Cionel Perez,15272911,P,4000,TEX@HOU 09/03/2020 02:10PM ET,HOU,6.1
